tenure_in_months,number_of_referrals,total_revenue,contract,offer,online_security,premium_tech_support,device_protection_plan,customer_status
64,0,3733.59,Two Year,None,No Internet,No Internet,No Internet,Stayed
33,1,3078.08,Month-to-Month,None,Yes,No,Yes,Stayed
1,0,72.39,Month-to-Month,None,No,No,No,Churned
70,0,8460.9,One Year,None,No,No,Yes,Stayed
51,0,2553.35,Month-to-Month,Offer B,No,No,No,Stayed
4,1,259.92,Month-to-Month,Offer E,No,No,No,Churned
67,6,1651.36,Two Year,None,No Internet,No Internet,No Internet,Stayed
68,3,8470.78,Two Year,None,Yes,Yes,Yes,Stayed
62,4,1969.17,Two Year,None,No Internet,No Internet,No Internet,Stayed
66,6,10162.0,Month-to-Month,None,No,Yes,No,Churned
53,1,4478.16,One Year,None,Yes,Yes,No,Churned
1,0,115.4,Month-to-Month,Offer E,No,No,No,Churned
4,4,201.0,Month-to-Month,None,No,No,No,Churned
64,0,7226.33,One Year,None,Yes,No,No,Stayed
71,0,3985.35,One Year,Offer A,Yes,No,No,Stayed
27,0,2847.99,Month-to-Month,None,No,Yes,No,Churned
9,0,886.12,Month-to-Month,Offer E,No,No,No,Churned
36,8,2248.31,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
7,0,753.35,Month-to-Month,Offer E,No,No,No,Churned
65,2,6332.25,Two Year,Offer B,Yes,Yes,Yes,Stayed
33,6,793.63,One Year,None,No Internet,No Internet,No Internet,Stayed
54,0,6719.69,Two Year,Offer B,Yes,Yes,No,Stayed
15,0,1806.75,Month-to-Month,Offer D,No,No,No,Churned
4,1,533.08,Month-to-Month,None,No,No,No,Churned
26,1,2644.51,Month-to-Month,Offer C,No,No,No,Churned
10,8,1257.05,Month-to-Month,None,No,No,No,Stayed
67,0,9441.18,One Year,Offer A,Yes,No,Yes,Churned
10,0,1312.05,Month-to-Month,Offer D,No,No,No,Churned
60,7,6175.95,Two Year,None,No,Yes,No,Stayed
65,0,4582.5,One Year,Offer B,No Internet,No Internet,No Internet,Stayed
72,5,8059.95,Two Year,Offer A,Yes,Yes,Yes,Stayed
26,8,2951.69,Two Year,Offer C,No,No,Yes,Stayed
8,1,514.04,One Year,Offer E,No Internet,No Internet,No Internet,Churned
48,3,4845.51,Month-to-Month,Offer B,No,Yes,Yes,Stayed
41,0,3511.68,Month-to-Month,None,Yes,No,No,Stayed
1,0,25.15,Month-to-Month,Offer E,No,No,No,Churned
6,0,526.16,Month-to-Month,None,No,No,No,Churned
37,3,3380.51,Month-to-Month,Offer C,No,No,No,Stayed
56,0,8778.78,One Year,None,Yes,No,Yes,Stayed
7,0,286.55,One Year,Offer E,No Internet,No Internet,No Internet,Stayed
4,0,479.16,Month-to-Month,None,No,No,No,Stayed
71,0,9387.38,Two Year,Offer A,No,No,No,Stayed
58,8,7585.08,Two Year,None,No,No,No,Stayed
53,0,2206.01,Two Year,None,No Internet,No Internet,No Internet,Stayed
31,5,4203.93,Two Year,Offer C,Yes,No,No,Stayed
6,0,354.61,Month-to-Month,None,Yes,No,No,Stayed
49,0,4069.73,Two Year,None,No,Yes,No,Stayed
8,0,639.41,One Year,None,Yes,Yes,No,Stayed
22,0,1173.58,One Year,None,No Internet,No Internet,No Internet,Stayed
29,0,3289.83,Month-to-Month,None,Yes,No,No,Churned
61,3,2227.2,Month-to-Month,None,Yes,No,Yes,Stayed
30,0,4134.55,Month-to-Month,None,Yes,No,Yes,Churned
25,1,2949.4,Month-to-Month,None,No,No,Yes,Churned
9,0,952.2,Two Year,Offer E,No,No,No,Stayed
5,1,305.5,One Year,None,No Internet,No Internet,No Internet,Stayed
9,0,1200.86,Month-to-Month,Offer E,No,No,No,Churned
65,6,9806.0,One Year,Offer B,No,Yes,Yes,Stayed
29,0,3199.71,One Year,Offer C,No,No,Yes,Stayed
12,0,1221.41,Month-to-Month,Offer D,No,Yes,No,Stayed
55,6,7713.5,One Year,Offer B,Yes,No,No,Stayed
11,0,1420.59,Month-to-Month,None,No,Yes,No,Churned
68,4,3342.12,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
34,0,4492.65,Month-to-Month,None,No,Yes,No,Stayed
36,2,2227.35,One Year,None,Yes,No,No,Stayed
15,9,1088.1,Two Year,None,No Internet,No Internet,No Internet,Stayed
10,0,1014.9,Month-to-Month,None,Yes,No,No,Stayed
43,10,3879.74,Month-to-Month,Offer B,Yes,No,Yes,Stayed
8,0,288.88,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Stayed
4,1,350.12,Month-to-Month,Offer E,No,No,No,Churned
71,6,2532.68,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
17,0,1702.32,Month-to-Month,None,Yes,No,No,Churned
6,1,422.23,Month-to-Month,Offer E,No,No,No,Stayed
2,0,223.68,Month-to-Month,Offer E,No,No,No,Churned
1,1,73.79,Month-to-Month,Offer E,Yes,No,No,Churned
64,0,8453.82,One Year,None,No,Yes,No,Churned
39,0,2191.7,One Year,None,No,Yes,Yes,Stayed
46,9,4328.8,One Year,Offer B,Yes,Yes,Yes,Stayed
1,0,113.81,Month-to-Month,Offer E,No,No,No,Churned
72,10,8711.03,Two Year,Offer A,Yes,Yes,Yes,Stayed
33,0,1054.18,Two Year,None,No Internet,No Internet,No Internet,Stayed
32,0,3755.52,One Year,None,Yes,Yes,Yes,Stayed
5,0,227.35,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
2,0,95.5,Month-to-Month,None,No,No,No,Churned
2,0,251.88,Month-to-Month,Offer E,No,No,No,Churned
17,0,1488.07,One Year,Offer D,No,No,Yes,Stayed
5,0,162.05,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
10,0,256.65,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
41,0,3859.27,One Year,Offer B,No,No,No,Stayed
63,0,6664.94,One Year,Offer B,No,No,No,Churned
22,3,1477.22,One Year,None,No Internet,No Internet,No Internet,Stayed
47,0,4845.75,One Year,Offer B,Yes,Yes,Yes,Stayed
65,0,6250.6,Two Year,Offer B,No,Yes,Yes,Stayed
8,0,1227.43,Two Year,Offer E,No,Yes,No,Stayed
10,0,1286.7,Month-to-Month,Offer D,No,No,No,Churned
9,0,920.07,Month-to-Month,None,No,No,No,Churned
35,0,4987.65,One Year,Offer C,Yes,Yes,No,Stayed
2,0,178.42,Month-to-Month,None,No,No,No,Churned
8,1,371.4,Two Year,None,No,No,Yes,Stayed
24,4,688.0,Month-to-Month,Offer C,No,No,Yes,Stayed
36,0,1901.25,Two Year,None,Yes,Yes,Yes,Stayed
67,1,8985.11,Two Year,Offer A,No,Yes,Yes,Stayed
15,2,2030.25,Month-to-Month,None,No,Yes,Yes,Churned
10,0,918.5,Two Year,None,Yes,Yes,No,Stayed
1,0,117.46,Month-to-Month,None,No,No,No,Churned
24,1,971.3,Month-to-Month,None,Yes,No,No,Churned
21,0,780.15,Month-to-Month,None,No,Yes,No,Stayed
11,0,941.87,Month-to-Month,Offer D,No,No,No,Stayed
50,0,6104.85,Month-to-Month,Offer B,No,Yes,Yes,Stayed
13,0,560.23,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
64,7,8351.54,Two Year,Offer B,Yes,Yes,No,Stayed
71,0,8293.14,One Year,None,Yes,No,No,Stayed
9,0,551.26,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Stayed
53,1,3184.25,One Year,None,No,Yes,Yes,Churned
46,1,2328.72,Two Year,None,No Internet,No Internet,No Internet,Stayed
63,9,6125.79,Month-to-Month,Offer B,No,No,Yes,Stayed
71,10,9885.87,Two Year,Offer A,Yes,Yes,Yes,Stayed
5,0,389.4,One Year,Offer E,No,No,No,Stayed
65,9,3960.5,Two Year,None,No Internet,No Internet,No Internet,Stayed
42,0,5301.93,Month-to-Month,None,No,Yes,No,Stayed
24,0,2070.18,Month-to-Month,None,Yes,Yes,No,Stayed
66,0,2701.54,Two Year,None,No Internet,No Internet,No Internet,Stayed
25,0,823.45,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
56,9,6758.08,One Year,None,No,Yes,Yes,Stayed
52,4,6892.2,One Year,None,No,No,Yes,Stayed
23,4,1436.23,Two Year,None,No Internet,No Internet,No Internet,Stayed
25,10,823.55,One Year,None,No Internet,No Internet,No Internet,Stayed
32,0,4663.86,Month-to-Month,None,No,No,Yes,Stayed
16,0,990.41,Month-to-Month,None,Yes,No,No,Churned
23,4,2177.24,Two Year,None,No,No,Yes,Stayed
26,0,1362.85,One Year,Offer C,Yes,Yes,No,Stayed
49,3,2006.0,One Year,None,No Internet,No Internet,No Internet,Stayed
5,0,330.77,Month-to-Month,None,No,No,No,Churned
50,0,1654.95,Two Year,None,No Internet,No Internet,No Internet,Stayed
13,0,597.0,Month-to-Month,Offer D,Yes,Yes,No,Churned
28,9,1156.48,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
49,0,3157.66,One Year,None,No Internet,No Internet,No Internet,Stayed
18,0,1774.31,Month-to-Month,None,No,Yes,Yes,Stayed
72,8,7833.13,Two Year,Offer A,Yes,No,Yes,Stayed
37,0,3373.35,Month-to-Month,None,No,No,No,Stayed
7,10,208.62,One Year,Offer E,Yes,No,No,Stayed
45,4,3847.4,Month-to-Month,Offer B,No,No,No,Stayed
19,0,1404.18,Month-to-Month,None,No,No,No,Stayed
29,0,1909.68,One Year,None,No Internet,No Internet,No Internet,Stayed
61,3,9077.03,One Year,Offer B,No,Yes,Yes,Stayed
4,0,335.47,Month-to-Month,Offer E,No,No,No,Stayed
38,0,5038.6,Month-to-Month,Offer C,No,Yes,Yes,Stayed
1,0,93.08,Month-to-Month,None,No,No,No,Churned
15,0,677.18,One Year,Offer D,Yes,Yes,Yes,Stayed
71,0,11040.97,Two Year,Offer A,Yes,Yes,Yes,Churned
52,1,6343.89,Month-to-Month,None,Yes,No,No,Churned
2,0,88.12,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
24,1,2617.45,Month-to-Month,Offer C,No,No,Yes,Churned
43,0,4006.78,Month-to-Month,Offer B,No,No,No,Stayed
2,0,149.73,Month-to-Month,Offer E,No,No,No,Churned
24,0,1307.53,Month-to-Month,Offer C,No,No,No,Stayed
41,0,5175.38,Month-to-Month,None,No,No,Yes,Churned
14,1,1667.12,Month-to-Month,None,No,No,Yes,Churned
64,9,5869.36,Two Year,None,No,Yes,Yes,Stayed
72,1,4927.25,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
27,0,1474.72,Month-to-Month,None,No,Yes,No,Stayed
35,0,2577.65,One Year,None,No,Yes,Yes,Stayed
1,0,81.05,Month-to-Month,Offer E,No,No,No,Churned
43,0,5538.91,Month-to-Month,None,No,No,No,Churned
53,1,6592.17,One Year,None,No,No,No,Stayed
17,0,1350.77,One Year,None,No,No,Yes,Churned
20,0,2313.3,Month-to-Month,Offer D,No,No,No,Churned
6,0,187.64,One Year,None,No Internet,No Internet,No Internet,Stayed
61,0,6739.15,Two Year,None,Yes,Yes,Yes,Stayed
4,0,539.6,Month-to-Month,None,No,No,Yes,Churned
1,0,116.27,Month-to-Month,None,No,No,No,Churned
68,1,6770.33,One Year,Offer A,No,Yes,No,Stayed
1,0,99.23,Month-to-Month,Offer E,No,No,No,Churned
2,0,166.44,Month-to-Month,None,No,No,Yes,Churned
45,0,4607.62,Month-to-Month,Offer B,No,No,No,Churned
40,1,3384.25,Month-to-Month,Offer B,No,Yes,Yes,Churned
34,0,3730.68,Month-to-Month,None,No,Yes,Yes,Stayed
13,0,1595.38,Month-to-Month,None,No,No,No,Stayed
1,0,30.96,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
35,6,1383.6,One Year,None,No,Yes,No,Stayed
35,7,1514.05,One Year,None,No Internet,No Internet,No Internet,Stayed
72,5,9602.3,Two Year,None,Yes,No,Yes,Stayed
12,0,657.17,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
69,4,8446.92,Two Year,Offer A,Yes,Yes,Yes,Stayed
57,0,7833.1,Two Year,None,No,Yes,No,Stayed
35,4,2861.6,Month-to-Month,Offer C,No,No,No,Churned
69,9,8012.25,Two Year,None,Yes,Yes,Yes,Stayed
63,1,7055.34,One Year,None,No,No,Yes,Churned
41,0,3438.44,Month-to-Month,None,No,No,No,Stayed
47,5,1227.45,Two Year,None,No Internet,No Internet,No Internet,Stayed
72,1,11195.44,One Year,None,Yes,Yes,Yes,Churned
59,0,4900.56,One Year,Offer B,Yes,Yes,Yes,Stayed
18,5,669.25,Two Year,None,No Internet,No Internet,No Internet,Stayed
25,1,853.0,Month-to-Month,Offer C,No,No,No,Churned
40,5,3651.55,One Year,Offer B,No,No,Yes,Stayed
21,1,1167.05,One Year,None,Yes,No,Yes,Churned
68,10,9124.66,One Year,Offer A,No,No,No,Stayed
70,2,2575.05,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
72,8,7215.05,Two Year,Offer A,Yes,No,No,Stayed
11,7,255.02,One Year,None,No Internet,No Internet,No Internet,Stayed
56,9,3096.26,Two Year,None,No Internet,No Internet,No Internet,Stayed
36,0,1267.2,Month-to-Month,Offer C,No,Yes,No,Stayed
37,0,4996.93,One Year,None,Yes,Yes,Yes,Stayed
39,3,2184.35,Month-to-Month,None,Yes,No,Yes,Churned
18,0,2146.09,Month-to-Month,Offer D,No,No,Yes,Stayed
19,0,1819.55,Month-to-Month,None,Yes,No,Yes,Stayed
4,0,429.96,Month-to-Month,None,No,No,No,Churned
38,0,3252.13,Two Year,None,Yes,No,No,Stayed
10,5,659.84,One Year,Offer E,No Internet,No Internet,No Internet,Stayed
56,7,8141.35,One Year,None,Yes,No,No,Stayed
30,0,2717.9,One Year,Offer C,No,No,Yes,Stayed
72,1,8562.71,Two Year,Offer A,Yes,Yes,Yes,Stayed
8,0,183.11,One Year,None,No Internet,No Internet,No Internet,Stayed
53,1,7069.48,Two Year,Offer B,Yes,Yes,Yes,Stayed
46,1,4778.48,One Year,Offer B,No,No,Yes,Stayed
6,0,159.07,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Stayed
8,1,1087.94,Month-to-Month,Offer E,No,No,Yes,Churned
56,1,6731.31,One Year,None,No,No,No,Churned
31,0,3079.64,Month-to-Month,Offer C,Yes,Yes,Yes,Churned
13,0,1437.05,Month-to-Month,None,No,No,No,Stayed
40,6,4929.1,Month-to-Month,Offer B,Yes,Yes,No,Stayed
59,0,6643.16,One Year,None,Yes,Yes,Yes,Stayed
50,7,7527.5,One Year,None,No,Yes,Yes,Stayed
2,0,36.55,Month-to-Month,None,No,No,No,Churned
46,0,5747.98,Two Year,Offer B,Yes,No,Yes,Stayed
18,0,1930.8,Month-to-Month,Offer D,Yes,No,No,Stayed
35,0,1205.85,Month-to-Month,Offer C,No,Yes,Yes,Stayed
1,0,62.46,Month-to-Month,None,Yes,No,No,Churned
4,0,501.77,Month-to-Month,None,No,Yes,No,Churned
5,0,606.75,Month-to-Month,None,No,No,Yes,Churned
69,7,7045.82,Two Year,None,Yes,Yes,Yes,Stayed
17,1,1683.22,Month-to-Month,None,No,No,No,Churned
1,0,63.72,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
24,1,1821.45,Month-to-Month,None,Yes,No,No,Churned
62,0,6169.39,One Year,None,No,No,No,Stayed
12,0,652.34,Month-to-Month,None,No,No,No,Churned
23,0,1286.26,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
45,10,2333.85,Month-to-Month,Offer B,Yes,No,No,Stayed
9,0,1226.82,Month-to-Month,None,No,No,Yes,Stayed
4,3,437.12,Month-to-Month,None,No,No,No,Churned
24,0,2335.87,Month-to-Month,None,No,Yes,Yes,Stayed
71,2,3556.31,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
2,0,111.44,Month-to-Month,Offer E,No,No,No,Churned
10,0,1512.3,Month-to-Month,None,No,No,Yes,Churned
67,0,6281.33,One Year,Offer A,Yes,Yes,No,Stayed
7,1,609.42,One Year,None,Yes,No,Yes,Stayed
13,0,1544.55,Month-to-Month,Offer D,Yes,No,Yes,Stayed
57,0,7688.53,One Year,None,No,Yes,No,Stayed
36,0,3690.81,Month-to-Month,Offer C,No,No,No,Stayed
66,0,6842.43,Two Year,None,Yes,Yes,Yes,Stayed
22,0,1974.0,Month-to-Month,Offer D,Yes,Yes,No,Stayed
17,1,2045.63,Month-to-Month,Offer D,Yes,No,Yes,Churned
1,0,114.06,Month-to-Month,None,No,No,No,Churned
11,1,1361.27,Month-to-Month,Offer D,No,No,No,Churned
2,1,162.4,Month-to-Month,None,No,No,No,Churned
4,0,350.94,Month-to-Month,None,No,No,Yes,Churned
69,9,1739.03,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
72,6,10052.49,Two Year,Offer A,Yes,Yes,Yes,Stayed
23,0,2758.31,Month-to-Month,Offer D,No,No,No,Stayed
40,5,3570.15,Month-to-Month,Offer B,No,No,Yes,Stayed
70,0,7176.15,Two Year,None,Yes,No,Yes,Stayed
70,10,9165.1,Two Year,None,Yes,No,No,Stayed
69,0,7801.58,Two Year,Offer A,Yes,No,Yes,Stayed
6,0,860.82,Month-to-Month,Offer E,No,No,No,Churned
72,0,9902.27,Two Year,None,Yes,Yes,Yes,Stayed
67,1,6098.25,Two Year,Offer A,No,Yes,Yes,Stayed
40,1,4852.6,One Year,None,No,Yes,No,Churned
19,1,1067.72,Two Year,None,No Internet,No Internet,No Internet,Stayed
70,0,2799.75,Two Year,Offer A,No,Yes,No,Stayed
21,0,2012.29,Two Year,None,Yes,Yes,No,Stayed
32,1,4710.14,Month-to-Month,Offer C,No,Yes,Yes,Churned
29,1,4396.24,Month-to-Month,Offer C,No,No,Yes,Stayed
29,0,2468.27,Month-to-Month,Offer C,No,No,No,Stayed
25,0,3220.95,Month-to-Month,None,No,Yes,No,Stayed
55,0,6108.9,Month-to-Month,Offer B,Yes,No,No,Churned
55,4,7527.95,Month-to-Month,Offer B,No,No,Yes,Stayed
2,0,279.58,Month-to-Month,None,No,No,No,Churned
62,0,7529.08,One Year,Offer B,No,No,Yes,Churned
19,0,835.45,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
7,7,194.02,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
29,10,2360.55,Month-to-Month,None,No,No,Yes,Stayed
29,4,1009.25,Month-to-Month,Offer C,No,No,No,Stayed
12,0,1079.16,Month-to-Month,Offer D,Yes,No,Yes,Churned
50,0,5354.15,One Year,Offer B,Yes,Yes,Yes,Stayed
67,6,10275.12,Two Year,None,No,Yes,Yes,Stayed
33,1,3218.92,Month-to-Month,None,No,No,No,Churned
37,3,2700.24,One Year,Offer C,Yes,No,No,Stayed
64,5,2020.64,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
1,0,122.75,Month-to-Month,Offer E,No,No,No,Churned
8,0,665.09,Month-to-Month,Offer E,No,No,No,Stayed
9,0,466.92,Month-to-Month,Offer E,No,No,No,Churned
48,1,1604.5,One Year,None,No,No,Yes,Churned
38,0,3287.72,Month-to-Month,None,Yes,No,Yes,Stayed
32,0,1098.51,Month-to-Month,Offer C,No Internet,No Internet,No Internet,Stayed
10,0,1386.05,Month-to-Month,None,No,No,Yes,Churned
1,0,120.27,Month-to-Month,Offer E,No,No,No,Churned
3,5,382.63,Month-to-Month,None,No,No,No,Churned
56,10,6070.8,Two Year,Offer B,Yes,Yes,Yes,Stayed
9,0,190.1,Month-to-Month,Offer E,No,No,No,Stayed
53,0,4891.07,Month-to-Month,None,No,No,No,Stayed
63,0,5228.44,One Year,Offer B,No,No,Yes,Stayed
35,0,2637.75,Two Year,None,Yes,No,No,Stayed
41,1,6056.65,One Year,Offer B,No,Yes,Yes,Churned
13,0,283.26,Month-to-Month,Offer D,No,No,No,Stayed
14,8,986.09,Month-to-Month,Offer D,Yes,No,No,Stayed
14,0,892.75,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
51,9,5928.08,Month-to-Month,None,Yes,No,No,Stayed
1,0,68.41,Month-to-Month,Offer E,No,No,No,Churned
1,0,82.99,Month-to-Month,Offer E,No,No,No,Churned
68,9,6914.52,One Year,None,Yes,Yes,No,Stayed
1,0,148.4,Month-to-Month,None,No,No,Yes,Churned
60,0,6949.65,Two Year,None,No,No,Yes,Stayed
7,0,771.95,Month-to-Month,None,No,No,No,Churned
23,1,1389.32,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
72,10,9302.83,Two Year,Offer A,Yes,Yes,Yes,Stayed
5,0,592.15,Month-to-Month,None,No,No,No,Churned
6,9,146.62,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
13,7,319.24,Two Year,None,No Internet,No Internet,No Internet,Stayed
47,0,2973.35,One Year,Offer B,No Internet,No Internet,No Internet,Stayed
14,8,869.29,One Year,None,No Internet,No Internet,No Internet,Stayed
23,10,2518.86,Two Year,None,Yes,Yes,Yes,Stayed
72,8,9701.28,Two Year,Offer A,Yes,Yes,Yes,Stayed
1,0,78.43,Month-to-Month,Offer E,No,No,No,Churned
66,0,9442.24,Month-to-Month,Offer A,Yes,Yes,Yes,Stayed
53,3,3064.16,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
11,0,1039.96,Month-to-Month,Offer D,Yes,No,No,Stayed
61,0,7353.07,Two Year,None,Yes,Yes,Yes,Churned
1,0,35.45,Month-to-Month,Offer E,No,No,No,Churned
67,1,7821.6,One Year,Offer A,No,No,Yes,Churned
18,0,1465.84,Month-to-Month,None,No,No,No,Stayed
18,1,2306.96,Month-to-Month,None,No,No,No,Stayed
12,0,1457.9,Month-to-Month,Offer D,No,No,No,Churned
27,5,3142.88,Month-to-Month,Offer C,Yes,Yes,No,Churned
61,5,7222.51,One Year,Offer B,Yes,No,Yes,Stayed
65,1,8882.7,Two Year,None,No,Yes,Yes,Stayed
41,0,1223.99,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
19,10,1210.38,Month-to-Month,Offer D,No,No,No,Stayed
2,0,160.5,Month-to-Month,Offer E,No,No,No,Churned
2,3,204.73,Month-to-Month,None,No,No,No,Churned
4,1,197.1,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
25,6,2246.05,Month-to-Month,Offer C,Yes,Yes,No,Stayed
60,1,7448.4,One Year,Offer B,No,No,Yes,Churned
8,0,838.68,Month-to-Month,Offer E,No,No,No,Churned
72,3,7103.69,Two Year,Offer A,Yes,No,Yes,Stayed
5,0,480.8,Month-to-Month,None,Yes,No,Yes,Stayed
10,0,334.1,Two Year,None,No Internet,No Internet,No Internet,Stayed
59,1,6385.85,One Year,None,Yes,No,Yes,Stayed
68,8,3075.66,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
54,7,3476.22,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
22,0,973.81,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
49,6,4026.33,Month-to-Month,None,No,No,No,Stayed
51,6,4147.58,Month-to-Month,None,Yes,No,No,Stayed
19,4,1216.07,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
14,9,560.92,One Year,None,No Internet,No Internet,No Internet,Stayed
57,1,2560.88,Month-to-Month,None,No,No,No,Churned
72,1,8488.48,Two Year,None,Yes,Yes,No,Stayed
63,0,7706.51,Two Year,None,Yes,No,Yes,Stayed
4,0,257.4,Month-to-Month,None,No,Yes,No,Stayed
17,2,1946.55,One Year,Offer D,Yes,No,No,Stayed
6,0,561.27,Month-to-Month,None,No,No,No,Churned
56,0,6547.56,Month-to-Month,None,No,Yes,No,Churned
13,1,1454.59,Month-to-Month,None,No,No,No,Churned
6,1,312.44,Month-to-Month,Offer E,No,Yes,No,Churned
71,8,8645.21,Month-to-Month,Offer A,No,No,Yes,Stayed
10,3,582.95,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
72,1,7900.21,Two Year,Offer A,Yes,Yes,Yes,Stayed
69,10,4831.63,Two Year,None,No Internet,No Internet,No Internet,Stayed
1,0,36.91,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
47,3,5934.95,Month-to-Month,None,Yes,No,Yes,Stayed
60,9,3076.2,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
2,0,271.48,Month-to-Month,None,No,No,No,Churned
53,0,2546.85,Month-to-Month,Offer B,Yes,No,No,Stayed
34,10,3778.7,Month-to-Month,Offer C,No,No,Yes,Stayed
60,4,6542.5,One Year,Offer B,Yes,Yes,Yes,Stayed
55,0,7037.75,One Year,None,No,No,Yes,Stayed
53,5,6068.94,Month-to-Month,None,No,Yes,No,Stayed
5,0,583.65,One Year,None,No,No,Yes,Churned
57,0,3196.0,Month-to-Month,Offer B,Yes,No,Yes,Stayed
1,1,60.75,Month-to-Month,None,No,No,No,Churned
61,0,5450.41,Two Year,Offer B,Yes,Yes,Yes,Stayed
38,9,4817.25,One Year,None,No,No,No,Stayed
60,0,7609.55,Month-to-Month,None,Yes,Yes,Yes,Stayed
50,5,2278.4,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
9,1,711.44,Month-to-Month,None,No,No,No,Stayed
71,5,3003.41,Two Year,None,No Internet,No Internet,No Internet,Stayed
46,1,4712.42,Two Year,None,No,Yes,No,Stayed
35,8,5441.0,Month-to-Month,None,No,Yes,Yes,Stayed
1,0,111.75,Month-to-Month,None,No,No,No,Churned
23,0,717.53,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
1,0,120.48,Month-to-Month,Offer E,No,No,No,Churned
21,5,2241.75,One Year,None,Yes,No,No,Stayed
16,2,825.24,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
70,10,3755.15,One Year,None,No,Yes,Yes,Stayed
66,0,8887.86,Two Year,None,Yes,Yes,Yes,Stayed
1,0,108.93,Month-to-Month,Offer E,No,Yes,No,Churned
14,0,837.64,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
46,7,2162.25,Two Year,None,No Internet,No Internet,No Internet,Stayed
49,0,5999.18,One Year,None,No,Yes,No,Churned
34,10,3102.05,Month-to-Month,None,No,No,Yes,Stayed
68,4,8617.57,Two Year,Offer A,No,Yes,Yes,Churned
50,1,5882.65,Month-to-Month,None,No,No,No,Churned
25,0,2327.3,Month-to-Month,Offer C,No,No,No,Stayed
19,0,2178.3,One Year,None,Yes,Yes,No,Stayed
65,0,8435.6,Two Year,Offer B,No,No,Yes,Stayed
3,1,379.12,Month-to-Month,None,No,No,No,Churned
67,1,9858.66,One Year,None,Yes,Yes,Yes,Stayed
8,0,727.26,Month-to-Month,None,No,No,No,Stayed
67,8,6557.12,Two Year,None,Yes,Yes,Yes,Stayed
26,0,1591.76,One Year,Offer C,No,Yes,No,Stayed
57,1,8259.33,Month-to-Month,None,No,No,Yes,Churned
39,0,4428.28,Month-to-Month,Offer C,No,No,No,Churned
47,1,4382.95,Month-to-Month,Offer B,No,No,No,Stayed
20,0,2496.35,Month-to-Month,None,No,Yes,No,Stayed
17,1,1446.61,Month-to-Month,None,No,No,No,Churned
52,0,2578.8,Two Year,None,No Internet,No Internet,No Internet,Stayed
10,3,617.2,Two Year,None,No Internet,No Internet,No Internet,Stayed
61,0,6483.51,One Year,None,Yes,Yes,No,Stayed
8,0,784.63,Month-to-Month,Offer E,No,No,Yes,Churned
72,1,8112.08,Two Year,None,Yes,Yes,Yes,Stayed
24,0,1325.52,Month-to-Month,None,No,Yes,No,Stayed
4,0,382.09,Two Year,None,No,No,No,Stayed
26,0,2626.0,Month-to-Month,None,No,No,No,Churned
66,10,8365.68,One Year,None,Yes,Yes,No,Stayed
65,1,6621.1,Two Year,None,Yes,Yes,Yes,Stayed
34,0,2908.18,One Year,Offer C,Yes,Yes,Yes,Stayed
45,10,4704.05,Two Year,None,Yes,Yes,Yes,Stayed
71,4,8178.48,Two Year,Offer A,Yes,No,Yes,Stayed
18,0,1650.45,One Year,None,No,Yes,Yes,Churned
